STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
1,1,Công ty TNHH Tessellation Hòa Bình,"Khu công nghiệp Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình","Sản xuất sợi, dệt vải và hoàn thiện sản phẩm dệt",1.678,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
2,2,Công ty TNHH Almine Việt Nam,"Khu công nghiệp Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình",Sản xuất nhôm sợi và nhôm thanh,2.402,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
3,3,Công ty TNHH Doosung Tech Việt Nam,"Khu công nghiệp Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình",Sản xuất linh kiện điện tử,1.243,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
4,4,Công ty TNHH HNT Vina,"Khu công nghiệp Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình",Sản xuất linh kiện điện tử,2.812,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
5,5,Công ty cổ phần Coasia CM Vina,"Khu công nghiệp Lương Sơn, xã Hòa Sơn, tỉnh Hòa Bình",Sản xuất linh kiện điện tử,2.977,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
6,6,Công ty TNHH nghiên cứu kỹ thuật R Việt Nam,"Tổ 9, phường Hữu Nghị, thành phố Hòa Bình, tỉnh Hòa Bình",Sản xuất thấu kính,1.000,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
7,7,Công ty TNHH Doosung Tech VietNam,"Khu công nghiệp Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình",Sản xuất linh kiện điện tử,1.122,Tỉnh Hòa Bình,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
8,8,Công ty cổ phần phốt pho Việt Nam,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Sản xuất hóa chất,14.198,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
9,9,Công ty cổ phần phốt pho vàng Lào Cai,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Sản xuất hóa chất,25.300,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
10,10,Công ty cổ phần DAP số 2-Vinachem,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Sản xuất hóa chất,20.918,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
11,11,Công ty TNHH phốt pho vàng Việt Nam,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Sản xuất hóa chất,45.759,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
12,12,Công ty TNHH Đông Nam Á Lào Cai,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Sản xuất hóa chất,99.965,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
13,13,Công ty cổ phần hóa chất Đức Giang Lào Cai,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Sản xuất hóa chất,240.334,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
14,14,Công ty cổ phần khoáng sản 3 -Vimico,"Tổ 30, phường Duyên Hải, thành phố Lào Cai, tỉnh Lào Cai",Khai thác khoáng sản,1.003,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
15,15,Công ty mỏ tuyển đồng Sin Quyền Lào Cai,"Xã Bản Vược, huyện Bát Xát, tỉnh Lào Cai",Mỏ và khai khoáng,26.200,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
16,16,Công ty TNHH MTV Apatit Việt Nam,"Phường Bắc Cường, thành phố Lào Cai, tỉnh Lào Cai",Khai thác chế biến và tuyển quặng Apatit,23.228,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
17,17,Công ty TNHH MTV đầu tư tổng hợp Đức Tiến,"Đội 3 xã Bản Vược, huyện Bát Xát, tỉnh Lào Cai",Sản xuất sản phẩm chịu lửa,7.055,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
18,18,Công ty luyện đồng Lào Cai,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai",Luyện kim,20.295,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
19,19,Công ty TNHH khoáng sản và luyện kim Việt Trung,"Khu công nghiệp Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai","Sản xuất sắt, thép, gang",35.316,Tỉnh Lào Cai,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
20,20,Công ty cổ phần quốc tế khoáng sản Việt Nam,"Khu công nghiệp phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái",Sản xuất bột đá canxi cacbonat,2.315,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
21,21,Công ty cổ phần khoáng sản Red Stone,"Khu công nghiệp phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái",Sản xuất sản phẩm từ nhựa,1.861,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
22,22,Công ty cổ phần An Tiến Industries,"Khu công nghiệp phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái",Sản xuất chất nhựa phụ gia,2.841,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
23,23,Công ty cổ phần kỹ thuật Hoàng Liên Sơn,"Số 93 đường Lê Lợi, phường Yên Ninh, thành phố Yên Bái, tỉnh Yên Bái",Sản xuất sản phẩm sứ cách điện,1.310,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
24,24,Công ty TNHH Khoáng sản V.STAR,"Tổ 9, thị trấn Yên Bình, huyện Yên Bình, tỉnh Yên Bái",Sản xuất bột CaCO 3,1.008,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
25,25,Công ty cổ phần khoáng sản công nghiệp Yên Bái,"Khu công nghiệp phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái",Sản xuất bột CaCO 3,5.170,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
26,26,Công ty cổ phần khai khoáng Minh Đức,"Thôn Yên Thịnh, xã Hưng Thịnh, Huyện Trấn Yên, tỉnh Yên Bái",Khai thác chế biến quặng sắt,1.116,Tỉnh Yên Bái,TÂY BẮC BỘ,Ngành Công Thương,Phụ lục II
27,27,Công ty TNHH Tai Ryong Việt Nam,"Lô số 8, khu công nghiệp Thụy Vân, xã Thụy Vân, thành phố Việt Trì, tỉnh Phú Thọ",Hoàn thiện sản phẩm dệt,5.817,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
28,28,Công ty TNHH Dệt Phú Thọ,"Lô số 4, khu công nghiệp Thụy Vân, xã Thụy Vân, thành phố Việt Trì, tỉnh Phú Thọ",Sản xuất sợi,1.882,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
29,29,Công ty TNHH MTV Pang Rim Neotex,"Tổ 21, khu Hồng Hà 1, phường Bến Gót, thành phố Việt Trì, tỉnh Phú Thọ",Hoàn thiện sản phẩm dệt,28.706,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
30,30,Công ty cổ phần Giấy Việt Trì,"Phường Bến Gót, thành phố Việt Trì, tỉnh Phú Thọ",Bột và giấy các loại,12.974,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
31,31,Tổng công ty Giấy Việt Nam,"Thị trấn Phong Châu, huyện Phù Ninh, tỉnh Phú Thọ","Sản xuất bột giấy, giấy và bìa",82.363,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
32,32,Công ty cổ phần Đông Á,"Khu 9, thị trấn Phong Châu, huyện Phù Ninh, tỉnh Phú Thọ",Sản xuất hóa chất cơ bản,9.710,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
33,33,Công ty cổ phần supe phốt phát và hóa chất Lâm Thao,"Khu Phương Lai, thị trấn Lâm Thao, huyện Lâm Thao, tỉnh Phú Thọ",Sản xuất và kinh doanh phân bón và hóa chất,6.213,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
34,34,Công ty cổ phần hóa chất Việt Trì,"Phố Sông Thao, phường Thọ Sơn, thành phố Việt Trì, tỉnh Phú Thọ",Sản xuất hóa chất cơ bản,21.909,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
35,35,Chi nhánh Công ty cổ phần khoáng sản và luyện kim Thăng Long,"Xóm Vì, xã Thượng Cửu, huyện Thanh Sơn, tỉnh Phú Thọ",Khai thác khoáng sản,1.122,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
36,36,Công ty TNHH Fabinno Vina,"Lô số 4, cụm công nghiệp làng nghề Nam Thanh Ba, xã Đỗ Sơn, huyện Thanh Ba, tỉnh Phú Thọ",Sản xuất sản phẩm từ nhựa,1.381,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
37,37,Công ty TNHH Shillim Việt Nam,"Xã Vân Cơ, thành phố Việt Trì, tỉnh Phú Thọ",Sản xuất các loại hàng dệt,1.479,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
38,38,Công ty cổ phần Ksa Polymer Hà Nội,"Lô B3 và lô số 5, khu công nghiệp Thụy Vân, xã Thụy Vân, thành phố Việt Trì, tỉnh Phú Thọ","Sản xuất và gia công vải nhựa, dây nhựa PP, PE",3.314,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
39,39,Công ty TNHH Công nghệ Cosmos 1,"Lô 9, khu công nghiệp Thụy Vân, xã Thụy Vân, thành phố Việt Trì, tỉnh Phú Thọ","Sản xuất linh kiện ô tô, xe máy",1.682,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
40,40,Công ty TNHH Công nghệ Namuga Phú Thọ,"Lô B9, khu công nghiệp Thụy Vân, xã Thụy Vân, thành phố Việt Trì, tỉnh Phú Thọ","Sản xuất linh kiện điện, điện tử",6.524,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
41,41,Công ty TNHH JNTC Vina,"Lô B8, khu công nghiệp Thụy Vân, xã Thụy Vân, thành phố Việt Trì, tỉnh Phú Thọ",Sản xuất kính cường lực và kính quang học,14.739,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
42,42,Công ty TNHH Daesang Việt Nam,"Phố Sông Thao, phường Thọ Sơn, thành phố Việt Trì, tỉnh Phú Thọ",Sản xuất bột ngọt,29.434,Tỉnh Phú Thọ,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
43,43,Công ty cổ phần hợp kim sắt Hà Giang,"Khu công nghiệp Bình Vàng, thôn Làng Trần, xã Đạo Đức, huyện Vị Xuyên, tỉnh Hà Giang",Sản xuất công nghiệp,11.185,Tỉnh Hà Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
44,44,Công ty cổ phần đầu tư khoáng sản An Thông (Nhà máy khai thác và chế biến mỏ quặng sắt Tùng Bá),"Số 415, đường Trần Phú, thành phố Hà Giang, tỉnh Hà Giang",Sản xuất công nghiệp,1.816,Tỉnh Hà Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
45,45,Công ty cổ phần đầu tư khoáng sản An Thông (Nhà máy khai thác và chế biến mỏ quặng sắt Sàng Thần),"Số 415, đường Trần Phú, thành phố Hà Giang, tỉnh Hà Giang",Sản xuất công nghiệp,3.013,Tỉnh Hà Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
46,46,Công ty cổ phần đầu tư khoáng sản An Thông,"Số 415, đường Trần Phú, thành phố Hà Giang, tỉnh Hà Giang",Khai thác khoáng sản,4.577,Tỉnh Hà Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
47,47,Công ty cổ phần khai thác và chế biến khoáng sản Nam Lương,"Tòa nhà A2, khu Hà Trung, phường Quang Trung, thành phố Hà Giang, tỉnh Hà Giang",Sản xuất công nghiệp,1.131,Tỉnh Hà Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
48,48,Công ty cổ phần Giấy An Hoà,"Xã Vĩnh Lợi, huyện Sơn Dương, tỉnh Tuyên Quang",Sản xuất bột giấy và giấy,59.975,Tỉnh Tuyên Quang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
49,49,Công ty TNHH Gang thép Tuyên Quang,"Khu công nghiệp Long Bình An, phường Đội Cấn, thành phố Tuyên Quang, tỉnh Tuyên Quang","Thép, phôi thép",76.029,Tỉnh Tuyên Quang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
50,50,"Nhà máy tuyển nổi chì, kẽm, Công ty TNHH CKC","Xóm Lạng Cá, thị trấn Pác Miầu, huyện Bảo Lâm, tỉnh Cao Bằng","Tuyển nổi chì, kẽm",1.364,Tỉnh Cao Bằng,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
51,51,Công ty cổ phần Gang thép Cao Bằng,"Số 52, phố Kim Đồng, phường Hợp Giang, thành phố Cao Bằng, tỉnh Cao Bằng","Sản xuất gang đúc, phôi thép",33.411,Tỉnh Cao Bằng,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
52,52,Công ty cổ phần khoáng sản Nikko Việt Nam,"Xóm Lũng Sặp, xã Quốc Toản, huyện Quảng Hòa, tỉnh Cao Bằng",Khai thác chế biến khoáng sản,7.775,Tỉnh Cao Bằng,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
53,53,Công ty cổ phần phụ tùng máy số 1,"Đường 3/2 tổ 10, phường Mỏ Chè, thành phố Sông Công, tỉnh Thái Nguyên","Sản xuất công nghiệp, phụ tùng máy",3.953,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
54,54,Công ty cổ phần giấy Hoàng Văn Thụ,"Phường Quán Triều, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất giấy,5.397,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
55,55,Công ty cổ phần kim loại màu Thái Nguyên,"Phường Phú Xá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất kim loại màu,21.703,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
56,56,Công ty cổ phần cơ khí Phổ Yên,"Thị trấn Bãi Bông, thị xã Phổ Yên, tỉnh Thái Nguyên",Sản xuất các sản phẩm cơ khí,2.198,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
57,57,Công ty Diesel Sông Công,"362, đường Cách Mạng Tháng 10, phường Lương Châu, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất máy móc,4.420,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
58,58,Công ty TNHH Hansol Electronics Việt Nam,"Khu công nghiệp Yên Bình, phường Đồng Tiến, thị xã Phổ Yên, tỉnh Thái Nguyên","Sản xuất thiết bị, linh kiện điện tử",7.347,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
59,59,Công ty TNHH Samsung Electro - Mechanics Việt Nam,"Khu công nghiệp Yên Bình, phường Đồng Tiến, thị xã Phổ Yên, tỉnh Thái Nguyên","Sản xuất thiết bị, linh kiện điện tử",18.583,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
60,60,Công ty cổ phần nhiệt điện An Khánh,"Tổ 22 phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất điện,255.434,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
61,61,Công ty nhiệt điện Cao Ngạn,"Phường Quan Triều, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất điện,575.706,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
62,62,Công ty cổ phần Gang Thép Thái Nguyên,"Phường Cam Giá, thành phố Thái Nguyên, tỉnh Thái Nguyên","Sản xuất gang, thép",118.929,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
63,63,Công ty than Khánh Hòa,"Xã Sơn Cẩm, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất than,9.225,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
64,64,Công ty TNHH chế biến khoáng sản Núi Pháo,"Xóm 2, xã Hà Thượng, huyện Đại Từ, tỉnh Thái Nguyên",Khai thác quặng kim loại khác không chứa sắt,25.438,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
65,65,Công ty TNHH Tinh luyện Vonfram Núi Pháo,"Xóm 2, xã Hà Thượng, huyện Đại Từ, tỉnh Thái Nguyên",Sản xuất kim loại,7.470,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
